,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
161,cit_patents_lfr,post-CM,modularity,52979,52979,0.630033422,0.630033422,44.89005077,11,18,4950
162,wiki_topcats,Leiden,0.0001,13269,1148,0.964143235,0.945002732,1474.705575,11,155,125725
163,wiki_topcats,Filter,0.0001,1088,1088,0.944258659,0.944258659,1554.806066,11,163,125725
164,wiki_topcats,post-CM,0.0001,1028,1028,0.694831506,0.694831506,1210.878405,11,40,125725
165,wiki_topcats_lfr,Leiden,0.0001,3450,3450,1,1,519.2721739,75,265,4890
166,wiki_topcats_lfr,Filter,0.0001,3450,3450,1,1,519.2721739,75,265,4890
167,wiki_topcats_lfr,post-CM,0.0001,10966,10966,0.981012443,0.981012443,160.2656392,11,30,4890
168,wiki_topcats,Leiden,0.001,20257,8014,0.951224373,0.932523727,208.4609433,11,59,18024
169,wiki_topcats,Filter,0.001,7611,7611,0.924051445,0.924051445,217.5046643,11,60,18024
170,wiki_topcats,post-CM,0.001,5175,5175,0.637961495,0.637961495,220.8504348,11,44,18024
171,wiki_topcats_lfr,Leiden,0.001,15934,15934,1,1,112.4318439,28,45,4014
172,wiki_topcats_lfr,Filter,0.001,15934,15934,1,1,112.4318439,28,45,4014
173,wiki_topcats_lfr,post-CM,0.001,20048,20048,0.923007063,0.923007063,82.47989824,11,23,4014
174,wiki_topcats,Leiden,0.01,58343,44040,0.946301652,0.914394674,37.19636694,11,20,2547
175,wiki_topcats,Filter,0.01,36854,36854,0.837024397,0.837024397,40.68812069,11,22,2547
176,wiki_topcats,post-CM,0.01,19167,19167,0.556459459,0.556459459,52.01079981,11,23,2547
177,wiki_topcats_lfr,Leiden,0.01,82331,81260,0.999994976,0.994023407,21.91461974,11,15,812
178,wiki_topcats_lfr,Filter,0.01,81260,81260,0.994023407,0.994023407,21.91461974,11,15,812
179,wiki_topcats_lfr,post-CM,0.01,38342,38342,0.635188382,0.635188382,29.67849877,11,17,812
180,wiki_topcats,Leiden,0.1,240673,27734,0.903698544,0.292707909,18.90758636,11,14,523
181,wiki_topcats,Filter,0.1,25364,25364,0.278155769,0.278155769,19.64646743,11,15,523
182,wiki_topcats,post-CM,0.1,21334,21334,0.252376654,0.252376654,21.19293147,11,16,523
183,wiki_topcats_lfr,Leiden,0.1,233959,31644,0.999866033,0.292966912,16.58598786,11,14,296
184,wiki_topcats_lfr,Filter,0.1,31644,31644,0.292966912,0.292966912,16.58598786,11,14,296
185,wiki_topcats_lfr,post-CM,0.1,31487,31487,0.291975,0.291975,16.61225268,11,14,296
186,wiki_topcats,Leiden,0.5,455139,2666,0.679004448,0.022431062,15.07314329,11,13,89
187,wiki_topcats,Filter,0.5,2666,2666,0.022431062,0.022431062,15.07314329,11,13,89
188,wiki_topcats,post-CM,0.5,2666,2666,0.022431062,0.022431062,15.07314329,11,13,89
189,wiki_topcats,Leiden,modularity,27,27,1,1,66351.44444,155,45467,273395
190,wiki_topcats,Filter,modularity,27,27,1,1,66351.44444,155,45467,273395
191,wiki_topcats,post-CM,modularity,41,41,0.738209947,0.738209947,32255.97561,22,8860,204085
192,wiki_topcats_lfr,Leiden,modularity,1438,1438,1,1,1245.819889,455,1150,2705
193,wiki_topcats_lfr,Filter,modularity,1438,1438,1,1,1245.819889,455,1150,2705
194,wiki_topcats_lfr,post-CM,modularity,33453,33453,0.983255828,0.983255828,52.65572594,11,45,1589
195,wiki_talk,Leiden,0.0001,7315,4488,0.978005208,0.975474704,520.4237968,11,292,13635
196,wiki_talk,Filter,0.0001,3104,3104,0.755061112,0.755061112,582.4442655,79,346,13635
197,wiki_talk,post-CM,0.0001,1060,1060,0.016585887,0.016585887,37.46509434,11,19,2218
198,wiki_talk_lfr,Leiden,0.0001,146975,13770,1,0.85401742,148.4051561,11,153,2944
199,wiki_talk_lfr,Filter,0.0001,13770,13770,0.85401742,0.85401742,148.4051561,11,153,2944
200,wiki_talk_lfr,post-CM,0.0001,13343,13343,0.118657051,0.118657051,21.27924755,11,15,656
201,wiki_talk,Leiden,0.001,16035,9622,0.799726443,0.793279694,197.4035544,11,89,1205
202,wiki_talk,Filter,0.001,3760,3760,0.264600304,0.264600304,168.4986702,11,97,1205
203,wiki_talk,post-CM,0.001,669,669,0.007603205,0.007603205,27.2122571,11,17,521
204,wiki_talk_lfr,Leiden,0.001,195237,29523,1,0.847095734,68.70114826,11,55,449
205,wiki_talk_lfr,Filter,0.001,29523,29523,0.847095734,0.847095734,68.70114826,11,55,449
206,wiki_talk_lfr,post-CM,0.001,11611,11611,0.128620675,0.128620675,26.52364137,11,19,99
207,wiki_talk,Leiden,0.01,31983,16278,0.33795317,0.318852649,46.9010935,11,30,200
208,wiki_talk,Filter,0.01,2579,2579,0.032964623,0.032964623,30.60488561,11,25,200
209,wiki_talk,post-CM,0.01,180,180,0.001610852,0.001610852,21.42777778,11,14,141
210,wiki_talk_lfr,Leiden,0.01,326811,134007,1,0.817119636,14.59997612,11,14,43
211,wiki_talk_lfr,Filter,0.01,134007,134007,0.817119636,0.817119636,14.59997612,11,14,43
212,wiki_talk_lfr,post-CM,0.01,0,0,0,0,0,0,0,0
213,wiki_talk,Leiden,0.1,48481,1403,0.103876361,0.00707238,12.06985032,11,11,1141
214,wiki_talk,Filter,0.1,133,133,0.001237896,0.001237896,22.28571429,11,11,1141
215,wiki_talk,post-CM,0.1,40,40,0.000804382,0.000804382,48.15,11,16,1141
216,wiki_talk_lfr,Leiden,0.1,641900,0,0.999705561,0,0,0,0,0
217,wiki_talk_lfr,Filter,0.1,0,0,0,0,0,0,0,0
218,wiki_talk_lfr,post-CM,0.1,0,0,0,0,0,0,0,0
219,wiki_talk,Leiden,0.5,47808,60,0.042412561,0.000540849,21.58333333,11,14,133
220,wiki_talk,Filter,0.5,60,60,0.000540849,0.000540849,21.58333333,11,14,133
221,wiki_talk,post-CM,0.5,60,60,0.000540849,0.000540849,21.58333333,11,14,133
222,wiki_talk,Leiden,modularity,2739,166,1,0.9976992,14390.81928,11,5439,225817
223,wiki_talk,Filter,modularity,149,149,0.995040062,0.995040062,15989.99329,1269,5970,225817
224,wiki_talk,post-CM,modularity,163,163,0.024629289,0.024629289,361.791411,11,57,15737
225,wiki_talk_lfr,Leiden,modularity,165508,2361,1,0.834105519,845.330792,11,16,5592
226,wiki_talk_lfr,Filter,modularity,1961,1961,0.831981207,0.831981207,1015.167262,11,20,5592
227,wiki_talk_lfr,post-CM,modularity,6824,6824,0.093113683,0.093113683,32.64947245,11,21,282
